資產:::,資產,1,指因過去事項所產生之資源，該資源由商業控制，並預期帶來經濟效益之流入。,,,TWD,CURRENCY,F,F,T
資產:非流動資產:生物資產—非流動:,生物資產—非流動,148,生物資產，指與農業活動有關且具生命之動物或植物。生物資產應依流動性區分為流動與非流動，並以公允價值減出售成本衡量。但取得公允價值需耗費過當之成本或努力者，得以其成本減累計折舊及累計減損後之帳面金額列示。,,,TWD,CURRENCY,F,F,T
資產:非流動資產:生物資產—非流動:生產性生物資產—非流動,生產性生物資產—非流動,1481,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:生物資產—非流動:累計折舊—生產性生物資產—非流動,累計折舊—生產性生物資產—非流動,1482,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:生物資產—非流動:累計減損—生產性生物資產—非流動,累計減損—生產性生物資產—非流動,1483,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:生物資產—非流動:生產性生物資產公允價值減出售成本累計變動數—非流動,生產性生物資產公允價值減出售成本累計變動數—非流動,1484,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:生物資產—非流動:消耗性生物資產—非流動,消耗性生物資產—非流動,1485,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:生物資產—非流動:累計折舊—消耗性生物資產—非流動,累計折舊—消耗性生物資產—非流動,1486,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:生物資產—非流動:累計減損—消耗性生物資產—非流動,累計減損—消耗性生物資產—非流動,1487,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:生物資產—非流動:消耗性生物資產公允價值減出售成本累計變動數—非流動,消耗性生物資產公允價值減出售成本累計變動數—非流動,1488,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:,無形資產,149-155,指無實體形式之可辨認非貨幣性資產及商譽。,,,TWD,CURRENCY,F,F,T
資產:非流動資產:無形資產:商標權—成本,商標權—成本,1491,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:商標權—重估增值,商標權—重估增值,1492,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:累計攤銷—商標權,累計攤銷—商標權,1493,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:累計減損—商標權,累計減損—商標權,1494,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:專利權—成本,專利權—成本,1501,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:專利權—重估增值,專利權—重估增值,1502,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:累計攤銷—專利權,累計攤銷—專利權,1503,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:累計減損—專利權,累計減損—專利權,1504,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:特許權—成本,特許權—成本,1511,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:特許權—重估增值,特許權—重估增值,1512,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:累計攤銷—特許權,累計攤銷—特許權,1513,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:累計減損—特許權,累計減損—特許權,1514,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:著作權—成本,著作權—成本,1521,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:著作權—重估增值,著作權—重估增值,1522,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:累計攤銷—著作權,累計攤銷—著作權,1523,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:累計減損—著作權,累計減損—著作權,1524,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:電腦軟體—成本,電腦軟體—成本,1531,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:電腦軟體—重估增值,電腦軟體—重估增值,1532,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:累計攤銷—電腦軟體,累計攤銷—電腦軟體,1533,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:累計減損—電腦軟體,累計減損—電腦軟體,1534,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:商譽—成本,商譽—成本,1541,指自企業合併取得之不可辨認及未單獨認列未來經濟效益之無形資產。,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:累計攤銷—商譽,累計攤銷—商譽,1542,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:累計減損—商譽,累計減損—商譽,1543,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:其他無形資產,其他無形資產,1551,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:累計攤銷—其他無形資產,累計攤銷—其他無形資產,1552,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:累計減損—其他無形資產,累計減損—其他無形資產,1553,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:遞延所得稅資產:,遞延所得稅資產,156,指與可減除暫時性差異、未使用課稅損失遞轉後期及未使用所得稅抵減遞轉後期有關之未來期間可回收所得稅金額。,,,TWD,CURRENCY,F,F,T
資產:非流動資產:遞延所得稅資產:遞延所得稅資產,遞延所得稅資產,1561,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:其他非流動資產:,其他非流動資產,157-158,指不能歸屬於前述各類之非流動資產。,,,TWD,CURRENCY,F,F,T
資產:非流動資產:其他非流動資產:長期應收票據,長期應收票據,1571,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:其他非流動資產:長期應收款,長期應收款,1572,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:其他非流動資產:催收款項,催收款項,1573,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:其他非流動資產:備抵損失—長期應收票據及款項,備抵損失—長期應收票據及款項,1574,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:其他非流動資產:備抵損失—催收款項,備抵損失—催收款項,1575,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:其他非流動資產:長期應收票據及款項—關係人,長期應收票據及款項—關係人,1576,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:其他非流動資產:催收款項—關係人,催收款項—關係人,1577,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:其他非流動資產:長期預付租金,長期預付租金,1578,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:其他非流動資產:長期預付保險費,長期預付保險費,1579,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:其他非流動資產:預付投資款,預付投資款,1580,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:其他非流動資產:預付退休金,預付退休金,1581,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:其他非流動資產:預付設備款,預付設備款,1582,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:其他非流動資產:存出保證金,存出保證金,1583,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:其他非流動資產:業主(股東)往來,業主(股東)往來,1584,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:其他非流動資產:同業往來,同業往來,1585,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:其他非流動資產:其他非流動資產—其他,其他非流動資產—其他,1586,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:其他非流動資產:人壽保險現金解約價值,人壽保險現金解約價值,1587,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:其他非流動資產:備抵損失—長期應收關係人票據及款項,備抵損失—長期應收關係人票據及款項,1588,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:其他非流動資產:備抵損失—催收關係人款項,備抵損失—催收關係人款項,1589,,,,TWD,CURRENCY,F,F,F
負債:::,負債,2,指因過去事項所產生之現時義務，預期該義務之清償，將導致經濟效益之資源流出。,,,TWD,CURRENCY,F,F,T
負債:流動負債::,流動負債,21-22,指商業預期於其正常營業週期中清償之負債；主要為交易目的而持有之負債；預期於資產負債表日後十二個月內到期清償之負債，即使該負債於資產負債表日後至通過財務報表前已完成長期性之再融資或重新安排付款協議；商業不能無條件將清償期限遞延至資產負債表日後至少十二個月之負債。,,,TWD,CURRENCY,F,F,T
負債:流動負債:短期借款:,短期借款,211,指向金融機構或他人借入或透支之款項。,,,TWD,CURRENCY,F,F,T
負債:流動負債:短期借款:銀行透支,銀行透支,2111,,,,TWD,CURRENCY,F,F,F
負債:流動負債:短期借款:銀行借款,銀行借款,2112,,,,TWD,CURRENCY,F,F,F
負債:流動負債:短期借款:短期借款—業主,短期借款—業主,2113,,,,TWD,CURRENCY,F,F,F
負債:流動負債:短期借款:短期借款—員工,短期借款—員工,2114,,,,TWD,CURRENCY,F,F,F
負債:流動負債:短期借款:短期借款—關係人,短期借款—關係人,2115,,,,TWD,CURRENCY,F,F,F
負債:流動負債:短期借款:短期借款—其他,短期借款—其他,2116,,,,TWD,CURRENCY,F,F,F
負債:流動負債:應付短期票券:,應付短期票券,212,指為自貨幣市場獲取資金，而委託金融機構發行之短期票券，包括應付商業本票及銀行承兌匯票等。,,,TWD,CURRENCY,F,F,T
負債:流動負債:應付短期票券:應付商業本票,應付商業本票,2121,,,,TWD,CURRENCY,F,F,F
負債:流動負債:應付短期票券:銀行承兌匯票,銀行承兌匯票,2122,,,,TWD,CURRENCY,F,F,F
負債:流動負債:應付短期票券:其他應付短期票券,其他應付短期票券,2123,,,,TWD,CURRENCY,F,F,F
負債:流動負債:應付短期票券:應付短期票券折價,應付短期票券折價,2124,,,,TWD,CURRENCY,F,F,F
負債:流動負債:透過損益按公允價值衡量之金融負債—流動:,透過損益按公允價值衡量之金融負債—流動,213,指持有供交易或原始認列時被指定為透過損益按公允價值衡量之金融負債。,,,TWD,CURRENCY,F,F,T
負債:流動負債:透過損益按公允價值衡量之金融負債—流動:指定為透過損益按公允價值衡量之金融負債—流動,指定為透過損益按公允價值衡量之金融負債—流動,2131,,,,TWD,CURRENCY,F,F,F
負債:流動負債:透過損益按公允價值衡量之金融負債—流動:指定為透過損益按公允價值衡量之金融負債評價調整—流動,指定為透過損益按公允價值衡量之金融負債評價調整—流動,2132,,,,TWD,CURRENCY,F,F,F
負債:流動負債:透過損益按公允價值衡量之金融負債—流動:持有供交易之金融負債—流動,持有供交易之金融負債—流動,2133,,,,TWD,CURRENCY,F,F,F
負債:流動負債:透過損益按公允價值衡量之金融負債—流動:持有供交易之金融負債評價調整—流動,持有供交易之金融負債評價調整—流動,2134,,,,TWD,CURRENCY,F,F,F
負債:流動負債:避險之金融負債—流動:,避險之金融負債—流動,214,指依避險會計指定且為有效避險工具之金融負債。,,,TWD,CURRENCY,F,F,T
負債:流動負債:避險之金融負債—流動:避險之金融負債—流動,避險之金融負債—流動,2141,,,,TWD,CURRENCY,F,F,F
負債:流動負債:避險之金融負債—流動:避險之金融負債評價調整—流動,避險之金融負債評價調整—流動,2142,,,,TWD,CURRENCY,F,F,F
負債:流動負債:以成本衡量之金融負債—流動:,以成本衡量之金融負債—流動,215,指與無活絡市場公開報價之權益工具連結，並以交付該等權益工具交割之衍生工具，其公允價值無法可靠衡量之金融負債。,,,TWD,CURRENCY,F,F,T
負債:流動負債:以成本衡量之金融負債—流動:以成本衡量之金融負債—流動,以成本衡量之金融負債—流動,2151,,,,TWD,CURRENCY,F,F,F
負債:流動負債:應付票據:,應付票據,216,指商業應付之各種票據。,,,TWD,CURRENCY,F,F,T
負債:流動負債:應付票據:應付票據,應付票據,2161,,,,TWD,CURRENCY,F,F,F
負債:流動負債:應付票據:應付票據—關係人,應付票據—關係人,2162,,,,TWD,CURRENCY,F,F,F
負債:流動負債:應付票據:其他應付票據,其他應付票據,2163,,,,TWD,CURRENCY,F,F,F
負債:流動負債:應付帳款:,應付帳款,217,指因?購原物料、商品或勞務所發生之債務。,,,TWD,CURRENCY,F,F,T
負債:流動負債:應付帳款:應付帳款,應付帳款,2171,,,,TWD,CURRENCY,F,F,F
負債:流動負債:應付帳款:應付租賃款—流動,應付租賃款—流動,2172,,,,TWD,CURRENCY,F,F,F
負債:流動負債:應付帳款:應付帳款—關係人,應付帳款—關係人,2173,,,,TWD,CURRENCY,F,F,F
負債:流動負債:應付建造合約款:,應付建造合約款,218,,,,TWD,CURRENCY,F,F,T
負債:流動負債:其他應付款:,其他應付款,219-220,指不屬於應付票據、應付帳款及應付建造合約款之應付款項，如應付薪資、應付稅捐、應付股息紅利等。,,,TWD,CURRENCY,F,F,T
負債:流動負債:其他應付款:應付薪資,應付薪資,2191,,,,TWD,CURRENCY,F,F,F
負債:流動負債:其他應付款:應付租金,應付租金,2192,,,,TWD,CURRENCY,F,F,F
負債:流動負債:其他應付款:應付利息,應付利息,2193,,,,TWD,CURRENCY,F,F,F
負債:流動負債:其他應付款:應付營業稅,應付營業稅,2194,,,,TWD,CURRENCY,F,F,F
負債:流動負債:其他應付款:應付稅捐—其他,應付稅捐—其他,2195,,,,TWD,CURRENCY,F,F,F
負債:流動負債:其他應付款:應付退休金費用,應付退休金費用,2196,,,,TWD,CURRENCY,F,F,F
負債:流動負債:其他應付款:其他應付費用,其他應付費用,2197,,,,TWD,CURRENCY,F,F,F
負債:流動負債:其他應付款:應付土地房屋款,應付土地房屋款,2198,,,,TWD,CURRENCY,F,F,F
負債:流動負債:其他應付款:應付設備款,應付設備款,2199,,,,TWD,CURRENCY,F,F,F
負債:流動負債:其他應付款:其他應付款—關係人,其他應付款—關係人,2200,,,,TWD,CURRENCY,F,F,F
負債:流動負債:其他應付款:應付股利,應付股利,2201,,,,TWD,CURRENCY,F,F,F
負債:流動負債:其他應付款:應付員工酬勞,應付員工酬勞,2202,,,,TWD,CURRENCY,F,F,F
負債:流動負債:其他應付款:應付董監事酬勞,應付董監事酬勞,2203,,,,TWD,CURRENCY,F,F,F
負債:流動負債:其他應付款:銷項稅額,銷項稅額,2204,,,,TWD,CURRENCY,F,F,F
負債:流動負債:其他應付款:其他應付款—股份基礎給付,其他應付款—股份基礎給付,2205,,,,TWD,CURRENCY,F,F,F
負債:流動負債:其他應付款:其他應付款—其他,其他應付款—其他,2206,,,,TWD,CURRENCY,F,F,F
負債:流動負債:本期所得稅負債:,本期所得稅負債,221,指尚未支付之本期及前期所得稅。,,,TWD,CURRENCY,F,F,T
負債:流動負債:本期所得稅負債:本期所得稅負債,本期所得稅負債,2211,,,,TWD,CURRENCY,F,F,F
負債:流動負債:預收款項:,預收款項,222,指預為收納之各種款項。,,,TWD,CURRENCY,F,F,T
負債:流動負債:預收款項:預收貨款,預收貨款,2221,,,,TWD,CURRENCY,F,F,F
負債:流動負債:預收款項:預收收入,預收收入,2222,,,,TWD,CURRENCY,F,F,F
負債:流動負債:預收款項:其他預收款,其他預收款,2223,,,,TWD,CURRENCY,F,F,F
負債:流動負債:一年內到期長期負債:,一年內到期長期負債,223,,,,TWD,CURRENCY,F,F,T
負債:流動負債:一年內到期長期負債:一年內到期應付公司債,一年內到期應付公司債,2231,,,,TWD,CURRENCY,F,F,F
負債:流動負債:一年內到期長期負債:一年內到期長期借款,一年內到期長期借款,2232,,,,TWD,CURRENCY,F,F,F
負債:流動負債:一年內到期長期負債:一年內到期長期應付票據及款項,一年內到期長期應付票據及款項,2233,,,,TWD,CURRENCY,F,F,F
負債:流動負債:一年內到期長期負債:一年內到期長期應付票據及款項—關係人,一年內到期長期應付票據及款項—關係人,2234,,,,TWD,CURRENCY,F,F,F
負債:流動負債:一年內到期長期負債:一年內到期其他長期負債,一年內到期其他長期負債,2235,,,,TWD,CURRENCY,F,F,F
負債:流動負債:負債準備—流動:,負債準備—流動,224,指不確定時點或金額之流動負債。,,,TWD,CURRENCY,F,F,T
負債:流動負債:負債準備—流動:保固之短期負債準備,保固之短期負債準備,2241,,,,TWD,CURRENCY,F,F,F
負債:流動負債:負債準備—流動:虧損性合約之短期負債準備,虧損性合約之短期負債準備,2242,,,,TWD,CURRENCY,F,F,F
負債:流動負債:負債準備—流動:除役、復原及修復成本之短期負債準備,除役、復原及修復成本之短期負債準備,2243,,,,TWD,CURRENCY,F,F,F
負債:流動負債:負債準備—流動:保證合約之短期負債準備,保證合約之短期負債準備,2244,,,,TWD,CURRENCY,F,F,F
負債:流動負債:負債準備—流動:銷貨退回及折讓之短期負債準備,銷貨退回及折讓之短期負債準備,2245,,,,TWD,CURRENCY,F,F,F
負債:流動負債:負債準備—流動:其他短期負債準備,其他短期負債準備,2246,,,,TWD,CURRENCY,F,F,F
負債:流動負債:其他流動負債:,其他流動負債,225,指不能歸屬於前述各類之流動負債。,,,TWD,CURRENCY,F,F,T
負債:流動負債:其他流動負債:暫收款,暫收款,2251,,,,TWD,CURRENCY,F,F,F
負債:流動負債:其他流動負債:代收款,代收款,2252,,,,TWD,CURRENCY,F,F,F
負債:非流動負債::,非流動負債,23,指不能歸屬於流動負債之各類負債。,,,TWD,CURRENCY,F,F,T
負債:非流動負債:透過損益按公允價值衡量之金融負債—非流動:,透過損益按公允價值衡量之金融負債—非流動,231,,,,TWD,CURRENCY,F,F,T
負債:非流動負債:透過損益按公允價值衡量之金融負債—非流動:指定為透過損益按公允價值衡量之金融負債—非流動,指定為透過損益按公允價值衡量之金融負債—非流動,2311,,,,TWD,CURRENCY,F,F,F
負債:非流動負債:透過損益按公允價值衡量之金融負債—非流動:指定為透過損益按公允價值衡量之金融負債評價調整—非流動,指定為透過損益按公允價值衡量之金融負債評價調整—非流動,2312,,,,TWD,CURRENCY,F,F,F
負債:非流動負債:透過損益按公允價值衡量之金融負債—非流動:持有供交易之金融負債—非流動,持有供交易之金融負債—非流動,2313,,,,TWD,CURRENCY,F,F,F
負債:非流動負債:透過損益按公允價值衡量之金融負債—非流動:持有供交易之金融負債評價調整—非流動,持有供交易之金融負債評價調整—非流動,2314,,,,TWD,CURRENCY,F,F,F
負債:非流動負債:避險之金融負債—非流動:,避險之金融負債—非流動,232,,,,TWD,CURRENCY,F,F,T
負債:非流動負債:避險之金融負債—非流動:避險之金融負債—非流動,避險之金融負債—非流動,2321,,,,TWD,CURRENCY,F,F,F
負債:非流動負債:避險之金融負債—非流動:避險之金融負債評價調整—非流動,避險之金融負債評價調整—非流動,2322,,,,TWD,CURRENCY,F,F,F
負債:非流動負債:以成本衡量之金融負債—非流動:,以成本衡量之金融負債—非流動,233,,,,TWD,CURRENCY,F,F,T
負債:非流動負債:以成本衡量之金融負債—非流動:以成本衡量之金融負債—非流動,以成本衡量之金融負債—非流動,2331,,,,TWD,CURRENCY,F,F,F
負債:非流動負債:應付公司債:,應付公司債,234,指商業發行之債券。,,,TWD,CURRENCY,F,F,T
負債:非流動負債:應付公司債:應付公司債,應付公司債,2341,,,,TWD,CURRENCY,F,F,F
負債:非流動負債:應付公司債:應付公司債溢(折)價,應付公司債溢(折)價,2342,,,,TWD,CURRENCY,F,F,F
負債:非流動負債:長期借款:,長期借款,235,指到期日在一年以上之借款。,,,TWD,CURRENCY,F,F,T
負債:非流動負債:長期借款:長期銀行借款,長期銀行借款,2351,,,,TWD,CURRENCY,F,F,F
負債:非流動負債:長期借款:長期借款—業主,長期借款—業主,2352,,,,TWD,CURRENCY,F,F,F
負債:非流動負債:長期借款:長期借款—員工,長期借款—員工,2353,,,,TWD,CURRENCY,F,F,F
負債:非流動負債:長期借款:長期借款—關係人,長期借款—關係人,2354,,,,TWD,CURRENCY,F,F,F
負債:非流動負債:長期借款:長期借款—其他,長期借款—其他,2355,,,,TWD,CURRENCY,F,F,F
負債:非流動負債:長期應付票據及款項:,長期應付票據及款項,236,指付款期間在一年以上之應付票據、應付帳款。,,,TWD,CURRENCY,F,F,T
負債:非流動負債:長期應付票據及款項:長期應付票據,長期應付票據,2361,,,,TWD,CURRENCY,F,F,F
負債:非流動負債:長期應付票據及款項:長期應付帳款,長期應付帳款,2362,,,,TWD,CURRENCY,F,F,F
負債:非流動負債:長期應付票據及款項:應付租賃款—非流動,應付租賃款—非流動,2363,,,,TWD,CURRENCY,F,F,F
負債:非流動負債:長期應付票據及款項:長期應付票據及款項—關係人,長期應付票據及款項—關係人,2364,,,,TWD,CURRENCY,F,F,F
負債:非流動負債:長期應付票據及款項:其他長期應付款項,其他長期應付款項,2365,,,,TWD,CURRENCY,F,F,F
負債:非流動負債:負債準備—非流動:,負債準備—非流動,237,指不確定時點或金額之非流動負債。,,,TWD,CURRENCY,F,F,T
負債:非流動負債:負債準備—非流動:虧損性合約之長期負債準備,虧損性合約之長期負債準備,2371,,,,TWD,CURRENCY,F,F,F
負債:非流動負債:負債準備—非流動:除役、復原及修復成本之長期負債準備,除役、復原及修復成本之長期負債準備,2372,,,,TWD,CURRENCY,F,F,F
負債:非流動負債:負債準備—非流動:保證合約之長期負債準備,保證合約之長期負債準備,2373,,,,TWD,CURRENCY,F,F,F
負債:非流動負債:負債準備—非流動:保固之長期負債準備,保固之長期負債準備,2374,,,,TWD,CURRENCY,F,F,F
負債:非流動負債:遞延所得稅負債:,遞延所得稅負債,238,指與應課稅暫時性差異有關之未來期間應付所得稅。,,,TWD,CURRENCY,F,F,T
負債:非流動負債:遞延所得稅負債:遞延所得稅負債—土地增值稅,遞延所得稅負債—土地增值稅,2381,,,,TWD,CURRENCY,F,F,F
負債:非流動負債:遞延所得稅負債:遞延所得稅負債—所得稅,遞延所得稅負債—所得稅,2382,,,,TWD,CURRENCY,F,F,F
負債:非流動負債:其他非流動負債:,其他非流動負債,239,指不能歸屬於前述各類之其他非流動負債。,,,TWD,CURRENCY,F,F,T
負債:非流動負債:其他非流動負債:遞延收入,遞延收入,2391,,,,TWD,CURRENCY,F,F,F
負債:非流動負債:其他非流動負債:存入保證金,存入保證金,2392,,,,TWD,CURRENCY,F,F,F
負債:非流動負債:其他非流動負債:業主(股東)往來,業主(股東)往來,2393,,,,TWD,CURRENCY,F,F,F
負債:非流動負債:其他非流動負債:同業往來,同業往來,2394,,,,TWD,CURRENCY,F,F,F
負債:非流動負債:其他非流動負債:其他非流動負債—股份基礎給付,其他非流動負債—股份基礎給付,2395,,,,TWD,CURRENCY,F,F,F
權益:::,權益,3,指資產減去負債之剩餘權利。,,,TWD,CURRENCY,F,F,T
權益:資本(或股本)::,資本(或股本),31,指業主對商業投入之資本額，並向主管機關登記者，但不包括符合負債性質之特別股。,,,TWD,CURRENCY,F,F,T
權益:資本(或股本):資本(或股本):,資本(或股本),311,,,,TWD,CURRENCY,F,F,T
權益:資本(或股本):資本(或股本):普通股股本,普通股股本,3111,,,,TWD,CURRENCY,F,F,F
權益:資本(或股本):資本(或股本):特別股股本,特別股股本,3112,,,,TWD,CURRENCY,F,F,F
權益:資本(或股本):資本(或股本):預收股本,預收股本,3113,,,,TWD,CURRENCY,F,F,F
權益:資本(或股本):資本(或股本):待分配股票股利,待分配股票股利,3114,,,,TWD,CURRENCY,F,F,F
權益:資本公積::,資本公積,32,指公司因股本交易所產生之權益。,,,TWD,CURRENCY,F,F,T
權益:資本公積:資本公積:,資本公積,321,,,,TWD,CURRENCY,F,F,T
權益:資本公積:資本公積:資本公積—普通股股票溢價,資本公積—普通股股票溢價,3211,,,,TWD,CURRENCY,F,F,F
權益:資本公積:資本公積:資本公積—特別股股票溢價,資本公積—特別股股票溢價,3212,,,,TWD,CURRENCY,F,F,F
權益:資本公積:資本公積:資本公積—庫藏股票交易,資本公積—庫藏股票交易,3213,,,,TWD,CURRENCY,F,F,F
權益:資本公積:資本公積:資本公積—股份基礎給付,資本公積—股份基礎給付,3214,,,,TWD,CURRENCY,F,F,F
權益:資本公積:資本公積:資本公積—受贈資產,資本公積—受贈資產,3215,,,,TWD,CURRENCY,F,F,F
權益:資本公積:資本公積:資本公積—採用權益法認列關聯企業及合資股權淨值變動數,資本公積—採用權益法認列關聯企業及合資股權淨值變動數,3216,,,,TWD,CURRENCY,F,F,F
權益:資本公積:資本公積:資本公積—實際取得或處分子公司股權價格與帳面價值差額,資本公積—實際取得或處分子公司股權價格與帳面價值差額,3217,,,,TWD,CURRENCY,F,F,F
權益:資本公積:資本公積:資本公積—認列對子公司所有權權益變動數,資本公積—認列對子公司所有權權益變動數,3218,,,,TWD,CURRENCY,F,F,F
權益:資本公積:資本公積:資本公積—認股權,資本公積—認股權,3219,,,,TWD,CURRENCY,F,F,F
