資產:::,資產,1,指因過去事項所產生之資源，該資源由商業控制，並預期帶來經濟效益之流入。,,,TWD,CURRENCY,F,F,T
權益:資本公積:資本公積:資本公積—其他,資本公積—其他,3220,,,,TWD,CURRENCY,F,F,F
權益:保留盈餘(或累積虧損)::,保留盈餘(或累積虧損),33,指由營業結果所產生之權益。,,,TWD,CURRENCY,F,F,T
權益:保留盈餘(或累積虧損):法定盈餘公積:,法定盈餘公積,331,指依公司法或其他相關法律規定，自盈餘中指撥之公積。,,,TWD,CURRENCY,F,F,T
權益:保留盈餘(或累積虧損):法定盈餘公積:法定盈餘公積,法定盈餘公積,3311,,,,TWD,CURRENCY,F,F,F
權益:保留盈餘(或累積虧損):特別盈餘公積:,特別盈餘公積,332,指依法令或盈餘分派之議案，自盈餘中指撥之公積，以限制股息及紅利之分派者。,,,TWD,CURRENCY,F,F,T
權益:保留盈餘(或累積虧損):特別盈餘公積:特別盈餘公積,特別盈餘公積,3321,,,,TWD,CURRENCY,F,F,F
權益:保留盈餘(或累積虧損):未分配盈餘(或待彌補虧損):,未分配盈餘(或待彌補虧損),335,指未經指撥之盈餘(或未經彌補之虧損)。,,,TWD,CURRENCY,F,F,T
權益:保留盈餘(或累積虧損):未分配盈餘(或待彌補虧損):累積盈虧,累積盈虧,3351,,,,TWD,CURRENCY,F,F,F
權益:保留盈餘(或累積虧損):未分配盈餘(或待彌補虧損):追溯適用及追溯重編之影響數,追溯適用及追溯重編之影響數,3352,,,,TWD,CURRENCY,F,F,F
權益:保留盈餘(或累積虧損):未分配盈餘(或待彌補虧損):本期損益,本期損益,3353,,,,TWD,CURRENCY,F,F,F
權益:其他權益::,其他權益,34,指其他造成權益增加或減少之項目，包括透過其他綜合損益按公允價值衡量之金融資產未實現損益、避險工具之損益、國外營運機構財務報表換算之兌換差額及未實現重估增值等。,,,TWD,CURRENCY,F,F,T
權益:其他權益:其他權益:,其他權益,341,,,,TWD,CURRENCY,F,F,T
權益:其他權益:其他權益:透過其他綜合損益按公允價值衡量之金融資產未實現損益,透過其他綜合損益按公允價值衡量之金融資產未實現損益,3411,,,,TWD,CURRENCY,F,F,F
權益:其他權益:其他權益:避險工具之損益,避險工具之損益,3412,,,,TWD,CURRENCY,F,F,F
權益:其他權益:其他權益:國外營運機構財務報表換算之兌換差額,國外營運機構財務報表換算之兌換差額,3413,,,,TWD,CURRENCY,F,F,F
權益:其他權益:其他權益:未實現重估增值,未實現重估增值,3414,,,,TWD,CURRENCY,F,F,F
權益:其他權益:其他權益:其他權益—其他,其他權益—其他,3415,,,,TWD,CURRENCY,F,F,F
權益:庫藏股票::,庫藏股票,35,指公司收回已發行股票，尚未再出售或註銷者。,,,TWD,CURRENCY,F,F,T
權益:庫藏股票:庫藏股票:,庫藏股票,351,,,,TWD,CURRENCY,F,F,T
權益:庫藏股票:庫藏股票:庫藏股票,庫藏股票,3511,,,,TWD,CURRENCY,F,F,F
營業收入:::,營業收入,4,指本期內因銷售商品或提供勞務等所獲得之收入。,,,TWD,CURRENCY,F,F,T
營業收入:營業收入::,營業收入,41,,,,TWD,CURRENCY,F,F,T
營業收入:營業收入:銷貨收入:,銷貨收入,411,,,,TWD,CURRENCY,F,F,T
營業收入:營業收入:銷貨收入:銷貨收入,銷貨收入,4111,,,,TWD,CURRENCY,F,F,F
營業收入:營業收入:銷貨收入:分期付款銷貨收入,分期付款銷貨收入,4112,,,,TWD,CURRENCY,F,F,F
營業收入:營業收入:銷貨收入:銷貨退回,銷貨退回,4113,,,,TWD,CURRENCY,F,F,F
營業收入:營業收入:銷貨收入:銷貨折讓,銷貨折讓,4114,,,,TWD,CURRENCY,F,F,F
營業收入:營業收入:勞務收入:,勞務收入,412,,,,TWD,CURRENCY,F,F,T
營業收入:營業收入:勞務收入:勞務收入,勞務收入,4121,,,,TWD,CURRENCY,F,F,F
營業收入:營業收入:工程收入:,工程收入,413-423,,,,TWD,CURRENCY,F,F,T
營業收入:營業收入:工程收入:工程收入,工程收入,4131,,,,TWD,CURRENCY,F,F,F
營業收入:營業收入:工程收入:工程收入退回及折讓,工程收入退回及折讓,4232,,,,TWD,CURRENCY,F,F,F
營業收入:營業收入:其他營業收入:,其他營業收入,414,,,,TWD,CURRENCY,F,F,T
營業收入:營業收入:其他營業收入:其他營業收入,其他營業收入,4141,,,,TWD,CURRENCY,F,F,F
營業成本:::,營業成本,5,指本期內因銷售商品或提供勞務等而應負擔之成本。,,,TWD,CURRENCY,F,F,T
營業成本:銷貨成本::,銷貨成本,51,,,,TWD,CURRENCY,F,F,T
營業成本:銷貨成本:銷貨成本:,銷貨成本,511,,,,TWD,CURRENCY,F,F,T
營業成本:銷貨成本:銷貨成本:銷貨成本,銷貨成本,5111,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:銷貨成本:分期付款銷貨成本,分期付款銷貨成本,5112,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:進貨:,進貨,512,,,,TWD,CURRENCY,F,F,T
營業成本:銷貨成本:進貨:進貨,進貨,5121,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:進貨:進貨費用,進貨費用,5122,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:進貨:進貨退出,進貨退出,5123,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:進貨:進貨折讓,進貨折讓,5124,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:進料:,進料,513,,,,TWD,CURRENCY,F,F,T
營業成本:銷貨成本:進料:進料,進料,5131,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:進料:進料費用,進料費用,5132,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:進料:進料退出,進料退出,5133,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:進料:進料折讓,進料折讓,5134,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:直接人工:,直接人工,514,,,,TWD,CURRENCY,F,F,T
營業成本:銷貨成本:直接人工:直接人工,直接人工,5141,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:製造費用:,製造費用,515-516,,,,TWD,CURRENCY,F,F,T
營業成本:銷貨成本:製造費用:間接人工,間接人工,5151,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:製造費用:租金支出,租金支出,5152,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:製造費用:文具用品,文具用品,5153,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:製造費用:旅費,旅費,5154,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:製造費用:運費,運費,5155,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:製造費用:郵電費,郵電費,5156,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:製造費用:修繕費,修繕費,5157,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:製造費用:包裝費,包裝費,5158,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:製造費用:水電瓦斯費,水電瓦斯費,5159,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:製造費用:保險費,保險費,5160,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:製造費用:加工費,加工費,5161,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:製造費用:稅捐,稅捐,5162,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:製造費用:折舊,折舊,5163,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:製造費用:各項耗竭及攤提,各項耗竭及攤提,5164,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:製造費用:伙食費,伙食費,5165,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:製造費用:職工福利,職工福利,5166,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:製造費用:訓練費,訓練費,5167,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:製造費用:間接材料,間接材料,5168,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:製造費用:其他製造費用,其他製造費用,5169,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:勞務成本:,勞務成本,561,,,,TWD,CURRENCY,F,F,T
營業成本:銷貨成本:勞務成本:勞務成本,勞務成本,5611,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:工程成本:,工程成本,581,,,,TWD,CURRENCY,F,F,T
營業成本:銷貨成本:工程成本:工程成本,工程成本,5811,,,,TWD,CURRENCY,F,F,F
營業成本:銷貨成本:其他營業成本:,其他營業成本,591,,,,TWD,CURRENCY,F,F,T
營業成本:銷貨成本:其他營業成本:其他營業成本,其他營業成本,5911,,,,TWD,CURRENCY,F,F,F
營業費用:::,營業費用,6,指本期內因銷售商品或提供勞務應負擔之費用（採費用功能法者，應依費用之功能分類為推銷費用、管理費用及研發費用等）。,,,TWD,CURRENCY,F,F,T
營業費用:營業費用::,營業費用,61,,,,TWD,CURRENCY,F,F,T
營業費用:營業費用:營業費用:,營業費用,611-613,,,,TWD,CURRENCY,F,F,T
營業費用:營業費用:營業費用:薪資支出,薪資支出,6111,,,,TWD,CURRENCY,F,F,F
營業費用:營業費用:營業費用:租金支出,租金支出,6112,,,,TWD,CURRENCY,F,F,F
營業費用:營業費用:營業費用:文具用品,文具用品,6113,,,,TWD,CURRENCY,F,F,F
營業費用:營業費用:營業費用:旅費,旅費,6114,,,,TWD,CURRENCY,F,F,F
營業費用:營業費用:營業費用:運費,運費,6115,,,,TWD,CURRENCY,F,F,F
營業費用:營業費用:營業費用:郵電費,郵電費,6116,,,,TWD,CURRENCY,F,F,F
營業費用:營業費用:營業費用:修繕費,修繕費,6117,,,,TWD,CURRENCY,F,F,F
營業費用:營業費用:營業費用:廣告費,廣告費,6118,,,,TWD,CURRENCY,F,F,F
營業費用:營業費用:營業費用:水電瓦斯費,水電瓦斯費,6119,,,,TWD,CURRENCY,F,F,F
營業費用:營業費用:營業費用:保險費,保險費,6120,,,,TWD,CURRENCY,F,F,F
營業費用:營業費用:營業費用:交際費,交際費,6121,,,,TWD,CURRENCY,F,F,F
營業費用:營業費用:營業費用:捐贈,捐贈,6122,,,,TWD,CURRENCY,F,F,F
營業費用:營業費用:營業費用:稅捐,稅捐,6123,,,,TWD,CURRENCY,F,F,F
營業費用:營業費用:營業費用:呆帳損失,呆帳損失,6124,,,,TWD,CURRENCY,F,F,F
營業費用:營業費用:營業費用:折舊,折舊,6125,,,,TWD,CURRENCY,F,F,F
營業費用:營業費用:營業費用:各項耗竭及攤提,各項耗竭及攤提,6126,,,,TWD,CURRENCY,F,F,F
營業費用:營業費用:營業費用:外銷損失,外銷損失,6127,,,,TWD,CURRENCY,F,F,F
營業費用:營業費用:營業費用:伙食費,伙食費,6128,,,,TWD,CURRENCY,F,F,F
營業費用:營業費用:營業費用:職工福利,職工福利,6129,,,,TWD,CURRENCY,F,F,F
營業費用:營業費用:營業費用:研究發展費用,研究發展費用,6130,,,,TWD,CURRENCY,F,F,F
營業費用:營業費用:營業費用:佣金支出,佣金支出,6131,,,,TWD,CURRENCY,F,F,F
營業費用:營業費用:營業費用:訓練費,訓練費,6132,,,,TWD,CURRENCY,F,F,F
營業費用:營業費用:營業費用:勞務費,勞務費,6133,,,,TWD,CURRENCY,F,F,F
營業費用:營業費用:營業費用:其他營業費用,其他營業費用,6134,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:::,營業外收益及費損,7,指本期內非因經常營業活動所發生之收益及費損。,,,TWD,CURRENCY,F,F,T
營業外收益及費損:營業外收益及費損::,營業外收益及費損,71-72,,,,TWD,CURRENCY,F,F,T
營業外收益及費損:營業外收益及費損:利息收入:,利息收入,711,,,,TWD,CURRENCY,F,F,T
營業外收益及費損:營業外收益及費損:利息收入:利息收入,利息收入,7111,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:租金收入:,租金收入,712,,,,TWD,CURRENCY,F,F,T
營業外收益及費損:營業外收益及費損:租金收入:租金收入,租金收入,7121,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:權利金收入:,權利金收入,713,,,,TWD,CURRENCY,F,F,T
營業外收益及費損:營業外收益及費損:權利金收入:權利金收入,權利金收入,7131,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:股利收入:,股利收入,714,,,,TWD,CURRENCY,F,F,T
營業外收益及費損:營業外收益及費損:股利收入:股利收入,股利收入,7141,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:利息費用:,利息費用,715,,,,TWD,CURRENCY,F,F,T
營業外收益及費損:營業外收益及費損:利息費用:利息費用,利息費用,7151,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:透過損益按公允價值衡量之金融資產(負債)淨損益:,透過損益按公允價值衡量之金融資產(負債)淨損益,716,,,,TWD,CURRENCY,F,F,T
營業外收益及費損:營業外收益及費損:透過損益按公允價值衡量之金融資產(負債)淨損益:透過損益按公允價值衡量之金融資產(負債)利益,透過損益按公允價值衡量之金融資產(負債)利益,7161,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:透過損益按公允價值衡量之金融資產(負債)淨損益:透過損益按公允價值衡量之金融資產(負債)損失,透過損益按公允價值衡量之金融資產(負債)損失,7162,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:採權益法認列之投資損益:,採權益法認列之投資損益,717,,,,TWD,CURRENCY,F,F,T
營業外收益及費損:營業外收益及費損:採權益法認列之投資損益:採權益法認列之投資利益,採權益法認列之投資利益,7171,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:採權益法認列之投資損益:採權益法認列之投資損失,採權益法認列之投資損失,7172,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:兌換損益:,兌換損益,718,,,,TWD,CURRENCY,F,F,T
營業外收益及費損:營業外收益及費損:兌換損益:兌換利益,兌換利益,7181,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:兌換損益:兌換損失,兌換損失,7182,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:處分投資損益:,處分投資損益,719,,,,TWD,CURRENCY,F,F,T
營業外收益及費損:營業外收益及費損:處分投資損益:處分投資性不動產利益,處分投資性不動產利益,7191,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:處分投資損益:處分投資性不動產損失,處分投資性不動產損失,7192,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:處分投資損益:處分投資利益,處分投資利益,7193,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:處分投資損益:處分投資損失,處分投資損失,7194,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:處分不動產、廠房及設備損益:,處分不動產、廠房及設備損益,720,,,,TWD,CURRENCY,F,F,T
營業外收益及費損:營業外收益及費損:處分不動產、廠房及設備損益:處分不動產、廠房及設備利益,處分不動產、廠房及設備利益,7201,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:處分不動產、廠房及設備損益:處分不動產、廠房及設備損失,處分不動產、廠房及設備損失,7202,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:減損損失:,減損損失,721,,,,TWD,CURRENCY,F,F,T
營業外收益及費損:營業外收益及費損:減損損失:金融資產減損損失,金融資產減損損失,7211,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:減損損失:投資性不動產減損損失,投資性不動產減損損失,7212,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:減損損失:不動產、廠房及設備減損損失,不動產、廠房及設備減損損失,7213,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:減損損失:無形資產減損損失,無形資產減損損失,7214,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:減損損失:生物資產減損損失,生物資產減損損失,7215,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:減損迴轉利益:,減損迴轉利益,722,,,,TWD,CURRENCY,F,F,T
營業外收益及費損:營業外收益及費損:減損迴轉利益:金融資產減損迴轉利益,金融資產減損迴轉利益,7221,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:減損迴轉利益:投資性不動產減損迴轉利益,投資性不動產減損迴轉利益,7222,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:減損迴轉利益:不動產、廠房及設備減損迴轉利益,不動產、廠房及設備減損迴轉利益,7223,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:減損迴轉利益:無形資產減損迴轉利益,無形資產減損迴轉利益,7224,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:減損迴轉利益:生物資產減損迴轉利益,生物資產減損迴轉利益,7225,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:其他營業外收益及費損:,其他營業外收益及費損,723-724,凡不屬於前述各類之營業外收益及費損皆屬之。,,,TWD,CURRENCY,F,F,T
營業外收益及費損:營業外收益及費損:其他營業外收益及費損:捐贈收入,捐贈收入,7231,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:其他營業外收益及費損:佣金收入,佣金收入,7232,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:其他營業外收益及費損:處分無形資產利益,處分無形資產利益,7233,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:其他營業外收益及費損:出售下腳及廢料收入,出售下腳及廢料收入,7234,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:其他營業外收益及費損:呆帳轉回利益,呆帳轉回利益,7235,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:其他營業外收益及費損:手續費收入,手續費收入,7236,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:其他營業外收益及費損:廉價購買利益,廉價購買利益,7237,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:其他營業外收益及費損:當期原始認列生物資產之利益,當期原始認列生物資產之利益,7238,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:其他營業外收益及費損:生物資產當期公允價值減出售成本之變動之利益,生物資產當期公允價值減出售成本之變動之利益,7239,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:其他營業外收益及費損:處分無形資產損失,處分無形資產損失,7240,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:其他營業外收益及費損:停工損失,停工損失,7241,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:其他營業外收益及費損:災害損失,災害損失,7242,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:其他營業外收益及費損:手續費支出,手續費支出,7243,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:其他營業外收益及費損:虧損性合約損失,虧損性合約損失,7244,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:其他營業外收益及費損:當期原始認列生物資產之損失,當期原始認列生物資產之損失,7245,,,,TWD,CURRENCY,F,F,F
營業外收益及費損:營業外收益及費損:其他營業外收益及費損:生物資產當期公允價值減出售成本之變動之損失,生物資產當期公允價值減出售成本之變動之損失,7246,,,,TWD,CURRENCY,F,F,F
綜合損益總額:::,綜合損益總額,8,,,,TWD,CURRENCY,F,F,T
綜合損益總額:繼續營業單位稅前淨利（或淨損）::,繼續營業單位稅前淨利（或淨損）,81,,,,TWD,CURRENCY,F,F,T
綜合損益總額:繼續營業單位稅前淨利（或淨損）:繼續營業單位稅前淨益（或淨損）:,繼續營業單位稅前淨益（或淨損）,811,,,,TWD,CURRENCY,F,F,T
綜合損益總額:所得稅費用(或利益)::,所得稅費用(或利益),82,指包含於決定本期損益中，與當期所得稅及遞延所得稅有關之彙總數。,,,TWD,CURRENCY,F,F,T
綜合損益總額:所得稅費用(或利益):所得稅費用(或利益):,所得稅費用(或利益),821,,,,TWD,CURRENCY,F,F,T
綜合損益總額:所得稅費用(或利益):所得稅費用(或利益):所得稅費用(或利益),所得稅費用(或利益),8211,,,,TWD,CURRENCY,F,F,F
綜合損益總額:繼續營業單位稅後淨利(或淨損）::,繼續營業單位稅後淨利(或淨損）,83,,,,TWD,CURRENCY,F,F,T
綜合損益總額:繼續營業單位稅後淨利(或淨損）:繼續營業單位稅後淨利(或淨損）:,繼續營業單位稅後淨利(或淨損）,831,,,,TWD,CURRENCY,F,F,T
綜合損益總額:停業單位損益(稅後)::,停業單位損益(稅後),84,指包括停業單位之稅後損益，及構成停業單位之資產或處分群組於按公允價值減出售成本衡量時或於處分時所認列之稅後利益或損失。,,,TWD,CURRENCY,F,F,T
綜合損益總額:停業單位損益(稅後):停業單位損益(稅後):,停業單位損益(稅後),841,,,,TWD,CURRENCY,F,F,T
綜合損益總額:停業單位損益(稅後):停業單位損益(稅後):停業單位資產或處分群組處分損益（稅後）,停業單位資產或處分群組處分損益（稅後）,8411,,,,TWD,CURRENCY,F,F,F
綜合損益總額:停業單位損益(稅後):停業單位損益(稅後):停業單位資產或處分群組按公允價值減出售成本衡量損益（稅後）,停業單位資產或處分群組按公允價值減出售成本衡量損益（稅後）,8412,,,,TWD,CURRENCY,F,F,F
綜合損益總額:本期稅後淨利(淨損)::,本期稅後淨利(淨損),86,指本期之稅後盈餘（或虧損）。,,,TWD,CURRENCY,F,F,T
綜合損益總額:本期其他綜合損益::,本期其他綜合損益,87,指本期變動之其他權益，例如透過其他綜合損益按公允價值衡量之權益工具投資未實現損益、透過其他綜合損益按公允價值衡量之債務工具投資未實現損益、避險工具之損益、國外營運機構財務報表換算之兌換差額、未實現重估增值及採用權益法認列之其他綜合損益等。,,,TWD,CURRENCY,F,F,T
綜合損益總額:本期其他綜合損益:透過其他綜合損益按公允價值衡量之金融資產未實現損益:,透過其他綜合損益按公允價值衡量之金融資產未實現損益,871,,,,TWD,CURRENCY,F,F,T
綜合損益總額:本期其他綜合損益:透過其他綜合損益按公允價值衡量之金融資產未實現損益:透過其他綜合損益按公允價值衡量之權益工具投資未實現損益,透過其他綜合損益按公允價值衡量之權益工具投資未實現損益,8711,,,,TWD,CURRENCY,F,F,F
綜合損益總額:本期其他綜合損益:透過其他綜合損益按公允價值衡量之金融資產未實現損益:透過其他綜合損益按公允價值衡量之債務工具投資未實現損益,透過其他綜合損益按公允價值衡量之債務工具投資未實現損益,8712,,,,TWD,CURRENCY,F,F,F
綜合損益總額:本期其他綜合損益:避險工具之損益:,避險工具之損益,872,,,,TWD,CURRENCY,F,F,T
綜合損益總額:本期其他綜合損益:避險工具之損益:避險工具之損益,避險工具之損益,8721,,,,TWD,CURRENCY,F,F,F
綜合損益總額:本期其他綜合損益:國外營運機構財務報表換算之兌換差額:,國外營運機構財務報表換算之兌換差額,873,,,,TWD,CURRENCY,F,F,T
綜合損益總額:本期其他綜合損益:國外營運機構財務報表換算之兌換差額:國外營運機構財務報表換算之兌換差額,國外營運機構財務報表換算之兌換差額,8731,,,,TWD,CURRENCY,F,F,F
綜合損益總額:本期其他綜合損益:未實現重估增值:,未實現重估增值,874,,,,TWD,CURRENCY,F,F,T
綜合損益總額:本期其他綜合損益:未實現重估增值:未實現重估增值,未實現重估增值,8741,,,,TWD,CURRENCY,F,F,F
綜合損益總額:本期其他綜合損益:採用權益法認列之其他綜合損益份額:,採用權益法認列之其他綜合損益份額,875,,,,TWD,CURRENCY,F,F,T
綜合損益總額:本期其他綜合損益:採用權益法認列之其他綜合損益份額:採用權益法認列之透過其他綜合損益按公允價值衡量之金融資產未實現損益,採用權益法認列之透過其他綜合損益按公允價值衡量之金融資產未實現損益,8751,,,,TWD,CURRENCY,F,F,F
綜合損益總額:本期其他綜合損益:採用權益法認列之其他綜合損益份額:採用權益法認列之避險工具之損益,採用權益法認列之避險工具之損益,8752,,,,TWD,CURRENCY,F,F,F
綜合損益總額:本期其他綜合損益:採用權益法認列之其他綜合損益份額:採用權益法認列之國外營運機構財務報表換算之兌換差額,採用權益法認列之國外營運機構財務報表換算之兌換差額,8753,,,,TWD,CURRENCY,F,F,F
綜合損益總額:本期其他綜合損益:採用權益法認列之其他綜合損益份額:採用權益法認列之未實現重估增值,採用權益法認列之未實現重估增值,8754,,,,TWD,CURRENCY,F,F,F
綜合損益總額:本期其他綜合損益:與本期其他綜合損益相關之所得稅:,與本期其他綜合損益相關之所得稅,876,,,,TWD,CURRENCY,F,F,T
綜合損益總額:本期其他綜合損益:與本期其他綜合損益相關之所得稅:與本期其他綜合損益相關之所得稅,與本期其他綜合損益相關之所得稅,8761,,,,TWD,CURRENCY,F,F,F
綜合損益總額:本期綜合損益總額::,本期綜合損益總額,88,指本期稅後淨利(或淨損)及本期其他綜合損益之合計數。,,,TWD,CURRENCY,F,F,T
